Date,VIVAX Equity ,VFINX Equity
10/1/2016,0.057644832,0.03608082
11/1/2016,0.018658913,0.013167831
12/1/2016,0.012709945,0.024226461
1/1/2017,0.035138976,0.038437415
2/1/2017,-0.015904389,-0.0038669
3/1/2017,0.004836609,0.014067018
4/1/2017,0.000441937,0.013207943
5/1/2017,0.010817121,0.001167724
6/1/2017,0.019927573,0.023663739
7/1/2017,-0.005313386,0.002072024
8/1/2017,0.022217646,0.014621948
9/1/2017,0.023426324,0.026944143
10/1/2017,0.033564623,0.029251654
11/1/2017,0.008015037,0.005464184
12/1/2017,0.051214923,0.059031323
1/1/2018,-0.045693397,-0.038843279
2/1/2018,-0.032296305,-0.031354829
3/1/2018,0.008503038,0.006555032
4/1/2018,0.004726905,0.022222707
5/1/2018,-0.00574676,7.79E-05
6/1/2018,0.04988902,0.039172937
7/1/2018,0.017552403,0.030339882
8/1/2018,-0.002384634,-0.000426037
9/1/2018,-0.046575768,-0.068447456
10/1/2018,0.0312574,0.018240559
11/1/2018,-0.107020345,-0.101788815
12/1/2018,0.072798034,0.079999998
1/1/2019,0.026430543,0.02946407
2/1/2019,-0.002958503,0.011852928
3/1/2019,0.037692672,0.042882313
4/1/2019,-0.067427309,-0.06775967
5/1/2019,0.061100862,0.061089475
6/1/2019,0.011357577,0.017050234
7/1/2019,-0.031298676,-0.017804195
8/1/2019,0.025507788,0.01223444
9/1/2019,0.022418773,0.024144258
10/1/2019,0.032133168,0.033998928
11/1/2019,0.018362014,0.023746268
12/1/2019,-0.019647107,0.002778341
1/1/2020,-0.104947148,-0.087298987
2/1/2020,-0.168212151,-0.137746936
3/1/2020,0.109154255,0.12356342
4/1/2020,0.027566871,0.046371022
5/1/2020,-0.017400241,0.01464191
6/1/2020,0.042552635,0.059377489
7/1/2020,0.041412778,0.071274287
8/1/2020,-0.029293472,-0.045001597
9/1/2020,-0.014199058,-0.023124769
10/1/2020,0.120669751,0.092260777
