Date,VEURX Equity,VFINX Equity
5/1/2009,-0.021791288,-0.003180267
6/1/2009,0.102162368,0.078201004
7/1/2009,0.052712187,0.035198127
8/1/2009,0.049684595,0.031436341
9/1/2009,-0.021622792,-0.013982421
10/1/2009,0.039074401,0.057976504
11/1/2009,-0.032657466,0.012898408
12/1/2009,-0.027461654,-0.030417009
1/1/2010,-0.010803059,0.030400077
2/1/2010,0.061609341,0.054294682
3/1/2010,-0.029463993,0.019607617
4/1/2010,-0.130678267,-0.083471381
5/1/2010,-0.011203668,-0.059151196
6/1/2010,0.121148474,0.072581273
7/1/2010,-0.044247603,-0.046506275
8/1/2010,0.107637313,0.080211395
9/1/2010,0.045473969,0.042121184
10/1/2010,-0.083434873,-0.000133324
11/1/2010,0.047583961,0.060222367
12/1/2010,0.072640331,0.027408903
1/1/2011,0.033260402,0.033492249
2/1/2011,-0.009440706,-0.004048192
3/1/2011,0.078754333,0.033146269
4/1/2011,-0.030815687,-0.011595174
5/1/2011,-0.020831241,-0.021422097
6/1/2011,-0.037884772,-0.01621897
7/1/2011,-0.106234653,-0.0560289
8/1/2011,-0.122123021,-0.078426293
9/1/2011,0.112266839,0.108711125
10/1/2011,-0.033664757,-0.002355834
11/1/2011,-0.065927774,0.00449202
12/1/2011,0.097544285,0.04934198
1/1/2012,0.054591418,0.042149935
2/1/2012,0.001571364,0.02808134
3/1/2012,-0.02383836,-0.00231351
4/1/2012,-0.127269618,-0.062123626
5/1/2012,0.074327601,0.035261445
6/1/2012,0.006913408,0.01850667
7/1/2012,0.043677627,0.02207163
8/1/2012,0.009834245,0.02052124
9/1/2012,0.038058339,-0.014019696
10/1/2012,0.024322377,0.005500468
11/1/2012,0.02720053,0.002042017
12/1/2012,0.056142805,0.057185498
1/1/2013,-0.032416374,0.013258369
2/1/2013,-0.001193815,0.032196831
3/1/2013,0.046522291,0.023227063
4/1/2013,-0.0000583,0.022949618
5/1/2013,-0.062573872,-0.018378835
6/1/2013,0.090235217,0.054196805
7/1/2013,-0.013072289,-0.029584452
8/1/2013,0.063182791,0.025976194
9/1/2013,0.043558286,0.049514878
10/1/2013,0.011098352,0.02981793
11/1/2013,0.021832465,0.019647209
12/1/2013,-0.037443309,-0.030183054
1/1/2014,0.069398407,0.044538726
2/1/2014,-0.021583217,0.003930258
3/1/2014,0.040019952,0.011418383
4/1/2014,0.00763054,0.023039119
5/1/2014,-0.016050046,0.016086007
6/1/2014,-0.026158967,-0.009802896
7/1/2014,0.00610268,0.039064215
8/1/2014,-0.045135304,-0.01875036
9/1/2014,-0.017477986,0.0283603
10/1/2014,0.02110097,0.02645374
11/1/2014,-0.051177117,-0.007928712
12/1/2014,0.009037955,-0.025221046
1/1/2015,0.058968842,0.055721255
2/1/2015,-0.030111879,-0.020876323
3/1/2015,0.0466686,0.014267359
4/1/2015,0.001620421,0.012620606
5/1/2015,-0.048174032,-0.023937194
6/1/2015,0.039986271,0.024967732
7/1/2015,-0.072951434,-0.062325924
8/1/2015,-0.046000939,-0.030314751
9/1/2015,0.06303068,0.08575147
10/1/2015,-0.012949745,0.002859799
11/1/2015,-0.028341022,-0.021742274
12/1/2015,-0.057092961,-0.045709451
1/1/2016,-0.028632286,-0.001586496
2/1/2016,0.059007815,0.060205164
3/1/2016,0.033071202,0.008555387
4/1/2016,-0.005787713,0.017497023
5/1/2016,-0.064496688,-0.002401287
6/1/2016,0.056244787,0.040562346
7/1/2016,0.007078312,0.001077664
8/1/2016,0.000531563,-0.004420138
9/1/2016,-0.029897135,-0.014444306
10/1/2016,-0.023461191,0.03608082
11/1/2016,0.041753065,0.013167831
12/1/2016,0.032619624,0.024226461
1/1/2017,0.005969923,0.038437415
2/1/2017,0.035652803,-0.0038669
3/1/2017,0.04496255,0.014067018
4/1/2017,0.046186827,0.013207943
5/1/2017,-0.022107789,0.001167724
6/1/2017,0.042430239,0.023663739
7/1/2017,0.000456018,0.002072024
8/1/2017,0.026632068,0.014621948
9/1/2017,0.006899444,0.026944143
10/1/2017,0.000388528,0.029251654
11/1/2017,0.00852672,0.005464184
12/1/2017,0.057548518,0.059031323
1/1/2018,-0.064245768,-0.038843279
2/1/2018,-0.009189201,-0.031354829
3/1/2018,0.024846752,0.006555032
4/1/2018,-0.028430668,0.022222707
5/1/2018,-0.031283345,7.79E-05
6/1/2018,0.050106526,0.039172937
7/1/2018,-0.028934732,0.030339882
8/1/2018,-0.004332281,-0.000426037
9/1/2018,-0.080500979,-0.068447456
10/1/2018,-0.010116197,0.018240559
11/1/2018,-0.055874695,-0.101788815
12/1/2018,0.067717279,0.079999998
1/1/2019,0.027982156,0.02946407
2/1/2019,7.93E-05,0.011852928
3/1/2019,0.040986622,0.042882313
4/1/2019,-0.059451454,-0.06775967
5/1/2019,0.042305684,0.061089475
6/1/2019,-0.012789295,0.017050234
7/1/2019,-0.018631421,-0.017804195
8/1/2019,0.017918039,0.01223444
9/1/2019,0.04004117,0.024144258
10/1/2019,0.01307213,0.033998928
11/1/2019,0.034719437,0.023746268
12/1/2019,-0.024064357,0.002778341
1/1/2020,-0.083547588,-0.087298987
2/1/2020,-0.193695059,-0.137746936
3/1/2020,0.074418427,0.12356342
4/1/2020,0.055075858,0.046371022
5/1/2020,0.029554041,0.01464191
6/1/2020,0.042666774,0.059377489
7/1/2020,0.042084755,0.071274287
8/1/2020,-0.038025612,-0.045001597
9/1/2020,-0.051485915,-0.023124769
10/1/2020,0.148958094,0.092260777
