Date,VWIGX Equity,VFINX Equity
8/1/2001,-0.12715754,-0.09090264
9/1/2001,0.031146435,0.019486433
10/1/2001,0.04719751,0.071752093
11/1/2001,0.013058749,0.003406093
12/1/2001,-0.027348907,-0.012723065
1/1/2002,-0.002843729,-0.021000278
2/1/2002,0.049548493,0.032549938
3/1/2002,0.00511885,-0.061438992
4/1/2002,-0.009426797,-0.009063139
5/1/2002,-0.044900118,-0.078775003
6/1/2002,-0.107426133,-0.078556718
7/1/2002,-0.001415664,0.005089331
8/1/2002,-0.128696835,-0.121124132
9/1/2002,0.066300667,0.087200539
10/1/2002,0.045063604,0.058433235
11/1/2002,-0.049127819,-0.069772987
12/1/2002,-0.020715717,-0.022507725
1/1/2003,-0.033891014,-0.016318133
2/1/2003,-0.012482254,0.004782548
3/1/2003,0.092367711,0.08204199
4/1/2003,0.054225697,0.050349808
5/1/2003,0.015034986,0.008321521
6/1/2003,0.028817299,0.019626821
7/1/2003,0.025282102,0.018390761
8/1/2003,0.017588299,-0.015474094
9/1/2003,0.053066618,0.057940914
10/1/2003,0.016325381,0.0078141
11/1/2003,0.050722282,0.045446994
12/1/2003,0.035519251,0.021918416
1/1/2004,0.023753201,0.012889463
2/1/2004,0.012160023,-0.019529726
3/1/2004,-0.037664878,-0.013183891
4/1/2004,-0.003824458,0.012695597
5/1/2004,0.016648777,0.014960182
6/1/2004,-0.034904095,-0.031252334
7/1/2004,0.007502337,0.00271167
8/1/2004,0.02597646,0.005416423
9/1/2004,0.024559303,0.017706489
10/1/2004,0.062134306,0.038237682
11/1/2004,0.025823369,0.024361502
12/1/2004,-0.006166796,-0.019282928
1/1/2005,0.039016981,0.018872015
2/1/2005,-0.026833929,-0.023820336
3/1/2005,-0.025485456,-0.017625044
4/1/2005,-0.001231787,0.028861069
5/1/2005,0.008965413,-0.004960601
6/1/2005,0.031933809,0.037693665
7/1/2005,0.029160054,-0.011779196
8/1/2005,0.040574734,0.000339527
9/1/2005,-0.034817781,-0.015129586
10/1/2005,0.020205411,0.034000816
11/1/2005,0.019323959,-0.008259249
12/1/2005,0.096523373,0.027997997
1/1/2006,-0.007854376,-0.000854043
2/1/2006,0.027960674,0.004534142
3/1/2006,0.040213513,0.013472504
4/1/2006,-0.052682399,-0.033244589
5/1/2006,-0.000491872,-0.00686922
6/1/2006,0.006741091,0.006184749
7/1/2006,0.023754395,0.019178607
8/1/2006,-0.005493427,0.016784773
9/1/2006,0.035519087,0.032067768
10/1/2006,0.024817733,0.014571723
11/1/2006,-0.076174804,0.004697835
12/1/2006,0.111014848,0.015631875
1/1/2007,-0.012076441,-0.024063521
2/1/2007,0.020485837,0.002645615
3/1/2007,0.041099219,0.043096611
4/1/2007,0.027606047,0.029988575
5/1/2007,0.003429913,-0.025028468
6/1/2007,-0.019777208,-0.031280895
7/1/2007,-0.010493645,0.010863707
8/1/2007,0.057467387,0.028034226
9/1/2007,0.046498888,0.016752325
10/1/2007,-0.036950088,-0.045947746
11/1/2007,-0.132367407,-0.015778317
12/1/2007,0.009413038,-0.059093847
1/1/2008,0.00601863,-0.035851204
2/1/2008,-0.01133239,-0.010951738
3/1/2008,0.05529796,0.050788207
4/1/2008,0.019973751,0.011614576
5/1/2008,-0.096132188,-0.094160664
6/1/2008,-0.041569847,-0.005252316
7/1/2008,-0.04422328,0.012777282
8/1/2008,-0.139205174,-0.100368646
9/1/2008,-0.260319496,-0.179460782
10/1/2008,-0.082630251,-0.075219032
11/1/2008,-0.037394647,0.001544284
12/1/2008,0.006979748,-0.079151067
1/1/2009,-0.080287132,-0.11277904
2/1/2009,0.08457195,0.076907959
3/1/2009,0.118479417,0.098101073
4/1/2009,0.131834562,0.05448078
5/1/2009,-0.011553533,-0.003180267
6/1/2009,0.099042003,0.078201004
7/1/2009,0.023644726,0.035198127
8/1/2009,0.052477441,0.031436341
9/1/2009,-0.017157123,-0.013982421
10/1/2009,0.041931756,0.057976504
11/1/2009,-0.000630294,0.012898408
12/1/2009,-0.035285023,-0.030417009
1/1/2010,0.00736206,0.030400077
2/1/2010,0.069459171,0.054294682
3/1/2010,-0.011655726,0.019607617
4/1/2010,-0.109891151,-0.083471381
5/1/2010,-0.00859395,-0.059151196
6/1/2010,0.094582436,0.072581273
7/1/2010,-0.033395787,-0.046506275
8/1/2010,0.119090969,0.080211395
9/1/2010,0.032092502,0.042121184
10/1/2010,-0.037264237,-0.000133324
11/1/2010,0.058458481,0.060222367
12/1/2010,0.015328823,0.027408903
1/1/2011,0.021395173,0.033492249
2/1/2011,0.010451653,-0.004048192
3/1/2011,0.058729832,0.033146269
4/1/2011,-0.029312523,-0.011595174
5/1/2011,-0.013745506,-0.021422097
6/1/2011,-0.017459186,-0.01621897
7/1/2011,-0.086990632,-0.0560289
8/1/2011,-0.148503345,-0.078426293
9/1/2011,0.117836757,0.108711125
10/1/2011,-0.030382537,-0.002355834
11/1/2011,-0.050108557,0.00449202
12/1/2011,0.099609101,0.04934198
1/1/2012,0.052293714,0.042149935
2/1/2012,-0.000586691,0.02808134
3/1/2012,-0.008692066,-0.00231351
4/1/2012,-0.121366779,-0.062123626
5/1/2012,0.047658472,0.035261445
6/1/2012,0.0115293,0.01850667
7/1/2012,0.018755751,0.02207163
8/1/2012,0.037627801,0.02052124
9/1/2012,0.008597181,-0.014019696
10/1/2012,0.019687608,0.005500468
11/1/2012,0.019295762,0.002042017
12/1/2012,0.061260078,0.057185498
1/1/2013,-0.014560124,0.013258369
2/1/2013,0.001453286,0.032196831
3/1/2013,0.027225734,0.023227063
4/1/2013,-0.0025112,0.022949618
5/1/2013,-0.046795617,-0.018378835
6/1/2013,0.068101548,0.054196805
7/1/2013,-0.01847146,-0.029584452
8/1/2013,0.078123972,0.025976194
9/1/2013,0.034254112,0.049514878
10/1/2013,0.013026707,0.02981793
11/1/2013,0.008140667,0.019647209
12/1/2013,-0.043361622,-0.030183054
1/1/2014,0.052142755,0.044538726
2/1/2014,-0.00174234,0.003930258
3/1/2014,0.003836786,0.011418383
4/1/2014,0.015323397,0.023039119
5/1/2014,0.011345958,0.016086007
6/1/2014,-0.015223394,-0.009802896
7/1/2014,0.011381115,0.039064215
8/1/2014,-0.046925499,-0.01875036
9/1/2014,0.003053904,0.0283603
10/1/2014,0.014371927,0.02645374
11/1/2014,-0.069929223,-0.007928712
12/1/2014,0.024744152,-0.025221046
1/1/2015,0.057562266,0.055721255
2/1/2015,-0.006596995,-0.020876323
3/1/2015,0.040946339,0.014267359
4/1/2015,-0.000870516,0.012620606
5/1/2015,-0.028747102,-0.023937194
