Date,Open,High,Low,Close,Adj Close,Volume,Monthly Total Return ,Monthly Risk Free Return,Equity Premium
2/1/1998,93.010002,97.620003,93.010002,97.620003,64.644836,0,0.045948208,0.004315674,0.041632534
3/1/1998,97.470001,102.949997,96.330002,102.209999,67.684448,0,0.013838381,0.004423535,0.009414846
4/1/1998,102.82,104.949997,100.739998,103.239998,68.627602,0,-0.017588494,0.004290781,-0.021879275
5/1/1998,104.099998,104.190002,101.440002,101.440002,67.431099,0,0.037345649,0.00415801,0.033187639
6/1/1998,101.470001,105.720001,100.230003,105.300003,69.996971,0,-0.008025565,0.004182906,-0.012208471
7/1/1998,106.68,110.279999,104.190002,104.190002,69.437454,0,-0.156345063,0.004240994,-0.160586057
8/1/1998,103.419998,103.419998,89.110001,89.110001,59.387356,0,0.059362987,0.004240994,0.055121993
9/1/1998,92.57,99.360001,90.699997,94.559998,63.019508,0,0.081262177,0.004124815,0.077137362
10/1/1998,91.730003,102.279999,89.279999,102.279999,68.354439,0,0.058943929,0.003635052,0.055308877
11/1/1998,103.480003,111.169998,103.410004,108.489998,72.504631,0,0.049101957,0.003601839,0.045500118
12/1/1998,109.580002,115.089996,106.459999,113.949997,76.153603,0,0.048507961,0.0038011,0.044706861
1/1/1999,113.879997,118.739998,112.440002,118.739998,79.938721,0,-0.031743378,0.003726382,-0.03546976
2/1/1999,118.120003,118.139999,112.889999,115.029999,77.441048,0,0.033090565,0.003726382,0.029364183
3/1/1999,114.839996,122.410004,113.849998,118.900002,80.046486,0,0.043859227,0.003875813,0.039983414
4/1/1999,119.580002,126.010002,119.230003,123.480003,83.635391,0,-0.024180331,0.003734684,-0.027915015
5/1/1999,125.279999,126.550003,118.650002,120.529999,81.637314,0,0.050948927,0.003784496,0.047164431
6/1/1999,119.839996,126.830002,119.839996,126.830002,85.904427,0,-0.028680883,0.003875813,-0.032556696
7/1/1999,127.599998,131.149994,122.860001,122.860001,83.475609,0,-0.004977314,0.003975421,-0.008952735
8/1/1999,122.800003,127.910004,118.57,122.25,83.061157,0,-0.030733125,0.00395052,-0.034683645
9/1/1999,123.269997,125.699997,117.220001,118.550003,80.547256,0,0.06429833,0.004141413,0.060156917
10/1/1999,118.559998,126.050003,115.32,126.050003,85.896439,0,0.020028013,0.00405842,0.015969593
11/1/1999,125.230003,131.899994,124.639999,128.600006,87.634117,0,0.051009471,0.00425759,0.046751881
12/1/1999,129.449997,135.330002,129.449997,135.330002,92.220261,0,-0.044474237,0.004406942,-0.048881179
1/1/2000,134.039993,135.009995,125.360001,128.520004,88.208702,0,-0.019247441,0.004431832,-0.023679273
2/1/2000,129.889999,132.899994,123,126.07,86.527145,0,0.090996296,0.004788517,0.086207779
3/1/2000,127.279999,141.029999,125.110001,138.080002,94.770149,0,-0.028386641,0.004805104,-0.033191745
4/1/2000,138.770004,139.770004,125.07,133.929993,92.117767,0,-0.020594393,0.004888034,-0.025482427
5/1/2000,135.389999,135.389999,126.830002,131.199997,90.240059,0,0.022235996,0.004838277,0.017397719
6/1/2000,133.800003,137.289993,132.889999,134.149994,92.269112,0,-0.01270844,0.004680695,-0.017389135
7/1/2000,135.550003,139.399994,131.139999,132.149994,91.103935,0,0.060059461,0.004888034,0.055171427
8/1/2000,132.820007,140.330002,132.820007,140.330002,96.74324,0,-0.056735246,0.005211397,-0.061946643
9/1/2000,140.619995,140.619995,131.660004,132.589996,91.407288,0,-0.001917724,0.005244557,-0.007162281
10/1/2000,132.559998,132.610001,122.790001,132.020004,91.232162,0,-0.082052144,0.005178236,-0.08723038
11/1/2000,131.279999,132.309998,121.620003,121.620003,84.04525,0,0.0019711,0.005302583,-0.003331483
12/1/2000,121.639999,127.720001,117.07,121.860001,84.211075,0,0.037977561,0.005161656,0.032815905
1/1/2001,118.440002,126.879997,118.440002,126.18,87.470711,0,-0.095825426,0.004896327,-0.100721753
2/1/2001,126.879997,126.879997,114.650002,114.650002,79.477867,0,-0.068401326,0.004149711,-0.072551037
3/1/2001,114.769997,116.989998,103.120003,107.07,74.223236,0,0.077509575,0.004033521,0.073476054
4/1/2001,105.739998,115.75,101.830002,115.389999,80.205078,0,0.006478384,0.003576928,0.002901456
5/1/2001,116.949997,121.360001,115.110001,116.139999,80.726364,0,-0.027231521,0.003286261,-0.030517782
6/1/2001,116.589996,118.709999,111.790001,113.019997,78.557724,0,-0.007598785,0.003020434,-0.010619219
7/1/2001,114.150002,114.150002,108.230003,111.889999,77.963043,0,-0.064794782,0.00303705,-0.067831832
8/1/2001,112.339996,112.800003,104.449997,104.870003,73.071625,0,-0.087956983,0.002945657,-0.09090264
9/1/2001,104.809998,104.809998,89.080002,96.040001,66.919014,0,0.02229083,0.002804397,0.019486433
10/1/2001,95.82,101.980003,95.82,97.860001,68.427444,0,0.073750096,0.001998003,0.071752093
11/1/2001,100.120003,106.980003,100.120003,105.349998,73.664726,0,0.005112969,0.001706876,0.003406093
12/1/2001,104.470001,108.25,103.550003,105.889999,74.042336,0,-0.011240831,0.001482234,-0.012723065
1/1/2002,106.510002,108.160004,101.580002,104.330002,73.214699,0,-0.019551328,0.00144895,-0.021000278
2/1/2002,103.589996,103.589996,99.739998,102.309998,71.797157,0,0.03401553,0.001465592,0.032549938
3/1/2002,104.620003,108.239998,104.400002,105.849998,74.281387,0,-0.059948437,0.001490555,-0.061438992
4/1/2002,105.769997,105.769997,98.360001,99.419998,69.959183,0,-0.007572584,0.001490555,-0.009063139
5/1/2002,100.309998,102.290001,96.910004,98.669998,69.431412,0,-0.07730109,0.001473913,-0.078775003
6/1/2002,96.220001,97.110001,89.82,91.330002,64.266487,0,-0.077107768,0.00144895,-0.078556718
7/1/2002,89.370003,91.279999,73.730003,84.279999,59.497276,0,0.006504995,0.001415664,0.005089331
8/1/2002,81.800003,89.120003,77.169998,84.830002,59.885567,0,-0.119700146,0.001423986,-0.121124132
