Date,VEIEX Equity,VFINX Equity
12/1/2006,0.008035984,0.015631875
1/1/2007,-0.015692205,-0.024063521
2/1/2007,0.037535428,0.002645615
3/1/2007,0.038549321,0.043096611
4/1/2007,0.054973585,0.029988575
5/1/2007,0.041097278,-0.025028468
6/1/2007,0.039669116,-0.031280895
7/1/2007,-0.0126293,0.010863707
8/1/2007,0.099198684,0.028034226
9/1/2007,0.113751535,0.016752325
10/1/2007,-0.08554754,-0.045947746
11/1/2007,-0.023768909,-0.015778317
12/1/2007,-0.10089961,-0.059093847
1/1/2008,0.043840224,-0.035851204
2/1/2008,-0.039262938,-0.010951738
3/1/2008,0.077448086,0.050788207
4/1/2008,0.017863195,0.011614576
5/1/2008,-0.109496277,-0.094160664
6/1/2008,-0.043048543,-0.005252316
7/1/2008,-0.081348773,0.012777282
8/1/2008,-0.177442113,-0.100368646
9/1/2008,-0.323644196,-0.179460782
10/1/2008,-0.080365096,-0.075219032
11/1/2008,0.034025862,0.001544284
12/1/2008,-0.036409718,-0.079151067
1/1/2009,-0.060283636,-0.11277904
2/1/2009,0.150943566,0.076907959
3/1/2009,0.151162772,0.098101073
4/1/2009,0.168345521,0.05448078
5/1/2009,-0.020874174,-0.003180267
6/1/2009,0.110719907,0.078201004
7/1/2009,-0.005048216,0.035198127
8/1/2009,0.090080067,0.031436341
9/1/2009,-0.012555115,-0.013982421
10/1/2009,0.058381921,0.057976504
11/1/2009,0.024543476,0.012898408
12/1/2009,-0.051487616,-0.030417009
1/1/2010,0.010601203,0.030400077
2/1/2010,0.078281993,0.054294682
3/1/2010,0.002525556,0.019607617
4/1/2010,-0.097964284,-0.083471381
5/1/2010,-0.000548042,-0.059151196
6/1/2010,0.088293399,0.072581273
7/1/2010,-0.022795283,-0.046506275
8/1/2010,0.105856513,0.080211395
9/1/2010,0.029130322,0.042121184
10/1/2010,-0.02763581,-0.000133324
11/1/2010,0.05581799,0.060222367
12/1/2010,-0.01351747,0.027408903
1/1/2011,-0.008610996,0.033492249
2/1/2011,0.054104505,-0.004048192
3/1/2011,0.033938416,0.033146269
4/1/2011,-0.028648548,-0.011595174
5/1/2011,-0.015285869,-0.021422097
6/1/2011,-0.008258502,-0.01621897
7/1/2011,-0.089647577,-0.0560289
8/1/2011,-0.176293167,-0.078426293
9/1/2011,0.126663212,0.108711125
10/1/2011,-0.034715499,-0.002355834
11/1/2011,-0.055667906,0.00449202
12/1/2011,0.127900302,0.04934198
1/1/2012,0.054109132,0.042149935
2/1/2012,-0.02911017,0.02808134
3/1/2012,-0.017694948,-0.00231351
4/1/2012,-0.11747103,-0.062123626
5/1/2012,0.047118389,0.035261445
6/1/2012,0.006280765,0.01850667
7/1/2012,0.004260104,0.02207163
8/1/2012,0.03999077,0.02052124
9/1/2012,0.007533052,-0.014019696
10/1/2012,0.013107154,0.005500468
11/1/2012,0.047431678,0.002042017
12/1/2012,0.015238558,0.057185498
1/1/2013,-0.017583128,0.013258369
2/1/2013,-0.0168101,0.032196831
3/1/2013,0.014289474,0.023227063
4/1/2013,-0.038090997,0.022949618
5/1/2013,-0.076265605,-0.018378835
6/1/2013,0.022579895,0.054196805
7/1/2013,-0.032327226,-0.029584452
8/1/2013,0.061202294,0.025976194
9/1/2013,0.053168207,0.049514878
10/1/2013,-0.020387364,0.02981793
11/1/2013,-0.014620784,0.019647209
12/1/2013,-0.070642976,-0.030183054
1/1/2014,0.033565164,0.044538726
2/1/2014,0.035630677,0.003930258
3/1/2014,0.007264274,0.011418383
4/1/2014,0.036450539,0.023039119
5/1/2014,0.020297015,0.016086007
6/1/2014,0.023690578,-0.009802896
7/1/2014,0.035032964,0.039064215
8/1/2014,-0.084223851,-0.01875036
9/1/2014,0.03265438,0.0283603
10/1/2014,-0.010059434,0.02645374
11/1/2014,-0.054948335,-0.007928712
12/1/2014,0.010602843,-0.025221046
1/1/2015,0.034665658,0.055721255
2/1/2015,-0.022239801,-0.020876323
3/1/2015,0.076213382,0.014267359
4/1/2015,-0.034397649,0.012620606
